POSTAL_CODE,NAISSANCES_1990-1999
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,1.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,6.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
52130,0.0
77230,0.0
77230,19.0
77230,0.0
77230,3.0
77230,9.0
77230,7.0
77230,0.0
77230,0.0
77230,0.0
77230,3.0
77230,0.0
77230,2.0
77230,10.0
45170,0.0
45170,0.0
45170,2.0
45170,1.0
45170,0.0
45170,1.0
45170,1.0
45170,1.0
45170,0.0
45170,11.0
45170,0.0
45170,0.0
45170,0.0
59380,1.0
59380,0.0
59380,3.0
59380,6.0
59380,3.0
59380,0.0
59380,6.0
59380,1.0
59380,6.0
59380,0.0
59380,5.0
59380,1.0
59380,1.0
73390,1.0
73390,3.0
73390,0.0
73390,5.0
73390,9.0
73390,0.0
73390,0.0
73390,0.0
73390,1.0
05000,1.0
05000,3.0
05000,7.0
05000,4.0
05000,2.0
05000,0.0
05000,6.0
05000,3.0
62840,0.0
62840,10.0
62840,15.0
62840,16.0
62840,1.0
53100,0.0
53100,0.0
53100,0.0
53100,0.0
53100,1.0
53100,0.0
53100,1.0
89120,0.0
89120,0.0
89120,1.0
89120,2.0
89120,14.0
89120,3.0
89120,0.0
89120,0.0
89120,0.0
89120,1.0
89120,0.0
89120,0.0
89120,0.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,3.0
11140,0.0
11140,0.0
11140,0.0
11140,32.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,1.0
11140,0.0
11140,0.0
11140,0.0
11140,0.0
11140,1.0
11140,0.0
39500,1.0
39500,2.0
39500,18.0
39500,5.0
39500,0.0
60480,1.0
60480,1.0
60480,0.0
60480,0.0
60480,0.0
60480,0.0
60480,10.0
60480,0.0
60480,0.0
60480,1.0
60480,0.0
60480,2.0
60480,3.0
60480,0.0
60480,1.0
60480,1.0
60480,1.0
60480,1.0
60480,2.0
60480,0.0
60480,1.0
60480,0.0
27120,3.0
27120,4.0
27120,30.0
27120,2.0
27120,0.0
27120,0.0
27120,0.0
27120,0.0
27120,0.0
27120,1.0
27120,0.0
27120,1.0
27120,0.0
27120,4.0
27120,0.0
27120,7.0
27120,1.0
27120,1.0
27120,0.0
27120,1.0
27120,1.0
27120,1.0
27120,3.0
27120,4.0
49270,38.0
49270,5.0
49270,3.0
49270,13.0
49270,11.0
49270,9.0
49270,3.0
43580,0.0
43580,0.0
43580,0.0
43580,1.0
43580,0.0
43580,0.0
43580,2.0
43580,0.0
28310,0.0
28310,0.0
28310,0.0
28310,3.0
28310,0.0
28310,1.0
28310,3.0
28310,1.0
28310,0.0
28310,0.0
28310,7.0
28310,0.0
28310,0.0
28310,1.0
28310,8.0
28310,1.0
28310,1.0
28310,0.0
28310,0.0
28310,1.0
34290,2.0
34290,3.0
34290,12.0
34290,17.0
34290,3.0
34290,0.0
34290,1.0
34290,0.0
34290,1.0
03270,2.0
03270,1.0
03270,0.0
03270,9.0
50630,1.0
50630,0.0
50630,2.0
50630,0.0
50630,0.0
50630,1.0
50630,2.0
50630,7.0
50630,0.0
46800,0.0
46800,6.0
46800,0.0
46800,0.0
46800,1.0
46800,1.0
46800,2.0
46800,1.0
46800,1.0
46800,0.0
46800,2.0
46800,1.0
46800,1.0
46800,0.0
46800,0.0
46800,0.0
62240,0.0
62240,0.0
62240,1.0
62240,2.0
62240,2.0
62240,1.0
62240,0.0
62240,1.0
62240,6.0
62240,1.0
62240,0.0
62240,1.0
62240,6.0
62240,0.0
62240,1.0
10350,9.0
10350,0.0
10350,0.0
10350,0.0
10350,0.0
10350,0.0
10350,0.0
71400,1.0
71400,1.0
71400,1.0
71400,0.0
71400,0.0
71400,0.0
71400,0.0
71400,0.0
71400,0.0
71400,0.0
71400,1.0
71400,0.0
12200,15.0
12200,0.0
12200,0.0
12200,3.0
12200,20.0
12200,0.0
12200,0.0
12200,0.0
12200,3.0
12200,2.0
12200,0.0
12200,2.0
47260,10.0
47260,0.0
47260,0.0
47260,0.0
47260,1.0
47260,6.0
47260,0.0
65100,0.0
65100,0.0
65100,0.0
65100,2.0
65100,0.0
65100,0.0
65100,0.0
65100,0.0
65100,0.0
65100,0.0
65100,0.0
65100,2.0
65100,0.0
65100,1.0
65100,0.0
65100,1.0
65100,0.0
65100,0.0
65100,0.0
65100,0.0
65100,0.0
65100,1.0
65100,12.0
65100,12.0
65100,1.0
65100,0.0
65100,0.0
65100,0.0
65100,1.0
65100,1.0
65100,13.0
65100,0.0
65100,1.0
65100,0.0
65100,1.0
65100,0.0
65100,14.0
47600,0.0
47600,10.0
47600,0.0
47600,0.0
47600,1.0
47600,28.0
47600,0.0
47600,0.0
47600,0.0
47600,1.0
47600,4.0
49370,0.0
49370,1.0
49370,7.0
49370,0.0
49370,38.0
01800,0.0
01800,3.0
01800,3.0
01800,10.0
01800,0.0
01800,2.0
01800,7.0
01800,12.0
01800,20.0
01800,14.0
01800,0.0
01800,7.0
82190,1.0
82190,1.0
82190,0.0
82190,1.0
82190,0.0
82190,10.0
82190,0.0
10400,0.0
10400,0.0
10400,0.0
10400,0.0
10400,0.0
10400,0.0
10400,3.0
10400,7.0
10400,0.0
10400,0.0
10400,0.0
10400,2.0
10400,2.0
10400,0.0
10400,0.0
10400,5.0
10400,0.0
10400,9.0
10400,0.0
10400,2.0
10400,2.0
10400,3.0
10400,0.0
10400,4.0
14370,1.0
14370,3.0
14370,0.0
14370,12.0
14370,0.0
14370,1.0
14370,4.0
14370,0.0
14370,4.0
14370,0.0
14370,4.0
14370,3.0
03390,0.0
03390,3.0
03390,47.0
03390,0.0
03390,0.0
03390,0.0
03390,0.0
03390,0.0
03390,0.0
03390,7.0
27400,0.0
27400,7.0
27400,0.0
27400,0.0
27400,0.0
27400,1.0
27400,4.0
27400,1.0
27400,5.0
27400,4.0
27400,8.0
27400,0.0
27400,1.0
27400,1.0
27400,1.0
27400,8.0
27400,2.0
27400,2.0
27400,0.0
27400,1.0
31420,0.0
31420,3.0
31420,0.0
31420,0.0
31420,3.0
31420,0.0
31420,0.0
31420,0.0
31420,0.0
31420,0.0
31420,0.0
31420,0.0
31420,0.0
31420,1.0
31420,0.0
31420,0.0
31420,3.0
31420,0.0
31420,0.0
02210,0.0
02210,1.0
02210,0.0
02210,0.0
02210,0.0
02210,0.0
02210,0.0
02210,0.0
02210,0.0
02210,3.0
02210,0.0
02210,2.0
02210,1.0
02210,0.0
02210,0.0
02210,1.0
02210,0.0
02210,0.0
02210,0.0
02210,0.0
02210,0.0
02210,0.0
02210,1.0
02210,0.0
02210,0.0
02210,4.0
02210,1.0
78150,23.0
78150,10.0
33690,0.0
33690,0.0
33690,0.0
33690,0.0
33690,0.0
33690,0.0
33690,2.0
33690,1.0
33690,0.0
33690,2.0
07120,2.0
07120,0.0
07120,1.0
07120,0.0
07120,0.0
07120,0.0
